Relationship;Father;Mother;Brother ;Sister;Uncle;Son;Daughter;Grandfather;Grandmother;Aunt;First Cousin;Nephew;Niece;Grandson;Granddaughter;Me;Second Cousin;First Cousin Once Removed;Third Cousin;First Cousin Twice Removed;First Cousin Twice Removed
Father;Sibling;N/A;Uncle or Aunt;N/A;First Cousin;Grandfather or Grandmother;N/A;Newphew or Niece, Son or Daughter;N/A;N/A;First Cousin Once Removed;Granduncle;N/A;Great Grandfather or Great Grandmother;N/A;Father;;;;;
Mother;N/A;Sibling;N/A;Uncle or Aunt;N/A;N/A;Grandfather or Grandmother;N/A;Nephew or Niece, Son or Daughter;First Cousin;First Cousin Once Removed;N/A;Grand Aunt or Grand Uncle;N/A;Great Grandmother or Great Grandfather;Mother;;;;;
Brother;Nephew or Niece;N/A;Sibling;N/A;Niece or Newphew, Son or Daughter;Mother or Father;N/A;Grand Nephew or Grand Niece;N/A;N/A;First Cousin;Uncle or Aunt;N/A;Grandfather or Grandmother;N/A;Brother;;;;;
Sister;N/A;Nephew or Niece ;N/A;Siblings;N/A;N/A;Mother or Father;N/A;Grand Nephew or Grand Niece;Niece or Newphew, Son or Daughter;First Cousin;N/A;Uncle or Aunt;N/A;Grandmother or Grandfather;Sister;;;;;
Uncle;First Cousin;N/A;Uncle or Aunt, Mother or Father;N/A;First Cousin;Grandfather or Grandmother;N/A;First Cousin Once Removed;;N/A;First Cousin Once Removed;Grand Aunt or Grand Uncle;N/A;Great Grandfather or Great Grandmother;N/A;Uncle;;;;;
Son;Grandson or Granddaughter ;N/A;Son or Daughter;N/A;Grandson or Granddaughter ;Parents;N/A;Great Grandson or Great Granddaughter;N/A;N/A;Niece or Nephew;Sibling;N/A;Father or Mother;N/A;Son;;;;;
Daughter ;N/A;Grandson or Granddaughter;N/A;Son or Daughter;N/A;N/A;Parents;N/A;Great Grandson or Great Granddaughter;Grandfather or Grandmother;Niece or Nephew;N/A;Sibling;N/A;Mother or Father;Daughter;;;;;
Grandfather;Uncle or Aunt, Father or Mother;N/A;Grand Uncle or Grand Aunt;N/A;First Cousin Once Removed;Great Grandfather or Great Grandmother;N/A;Sibling or First Cousin;N/A;N/A;First Cousin Twice Removed;Great Grand Aunt or Great Grand Uncle;N/A;Great Great Grandfather or Great Great Grandmother;N/A;Grandfather;;;;;
Grandmother;N/A;Uncle or Aunt, Father or Mother;N/A;Grand Uncle or Grand Aunt;N/A;N/A;Great Grandfather or Great Grandmother;N/A;Sibling or First Cousin;First Cousins Once Removed;First Cousin Twice Removed;N/A;Great Grand Aunt or Great Grand Uncle;N/A;Great Great Grandmother or Great Great Grandfather;Grandmother;;;;;
Aunt;N/A;First Cousin;N/A;Uncle or Aunt, Mother or Father;N/A;N/A;Grandson or Granddaughter;N/A;First Cousins Once Removed;First Cousin;First Cousin Once Removed;N/A;Grand Aunt or Great Gruand Grand Uncle;N/A;Great Grandmother or Great Grandfather;Aunt;;;;;
First Cousin;First Cousin Once Removed;First Cousin Once Removed;First Cousin;First Cousin;First Cousin Once Removed;Uncle or Aunt;Uncle or Aunt;First Cousin Twice Removed;First Cousin Twice Removed;First Cousin Once Removed;First Cousin;Uncle or Aunt, Father or Mother;Uncle or Aunt, Father or Mother;Grandfather or Grandmother;Grandmother or Grandfather;First Cousin;;;;;
Nephew;Grand Newphew or Grand Niece;N/A;Nephew or Niece;N/A;Grand Nephew or Grand Niece;Sibling;N/A;Great Grand Nephew or Great Grand Niece;N/A;N/A;Niece or Nephew, Son or Daughter;Sibling;N/A;Father or Mother;N/A;Nephew;;;;;
Niece;N/A;Grand Newphew or Grand Niece;N/A;Newphew or Niece;N/A;N/A;Sibling;N/A;Great Grand Niece or Great Grand Nephew;Grand Nephew or Grand Niece;Niece or Nephew, Son or Daughter;N/A;Sibling;N/A;Mother or Father;Niece;;;;;
Grandson;Great Grandson or Great Granddaughter;N/A;Grandson Granddaughter;N/A;Great Grandson or Great Granddaughter;Son or Daughter;N/A;Great Great Grandson or Great Granddaughter;N/A;N/A;Grandson or Granddaughter;Son or Daughter;N/A;Husband or Wife;N/A;Grandson;;;;;
Granddaughter;N/A;Great Grandson or Daughter;N/A;Grandson or Granddaughter;N/A;N/A;Son or Daughter;N/A;Great Great Grandson or Great Great Granddaughter;Great Granddaughter or Great Grandson;Grandson or Granddaughter;N/A;Grandson or Granddaughter;N/A;Husband or Wife;Granddaughter;;;;;